userName,content,score,at
Noah Alvarez,love the game so much,5,2025-04-20 04:35:19
Muhammad Awan,it is a 3d game and good graphic because is a good game,5,2025-04-20 04:28:51
Sangitakangara44,me like the game 🎮,5,2025-04-20 04:23:26
Queen Williams,doesn't work,2,2025-04-20 04:13:32
Dor Juravski,"Cannot restore purchased items to current phone, also coming back to this game after 2-3 years, the amount of commercials make it unplayable",2,2025-04-20 04:12:55
Alan Eastman,it's fun to play.,5,2025-04-20 04:05:02
Sabusiwe,love it#best#😘,5,2025-04-20 04:04:47
Dipali Davada,bad game ever,1,2025-04-20 04:03:17
Dominic Rizan,"it's my third day here and when I play I want to revive without using ads when I can use the keys to revive ,I won achievements because I have experience playing it but why I can't use the keys to revive is just only for skin? I don't want to buy the skip for ads because Iam a kid can't afford it",4,2025-04-20 03:44:36
Varsha Thakur,nice,5,2025-04-20 03:16:07
Juan Ramirez,it's to fun,5,2025-04-20 03:13:53
Kondadasu Lakshmi,super 💯👍💜🤗,5,2025-04-20 03:12:07
Mia Burbes,Great way to compete with yourself and friends and always having a goal to work to in the game,5,2025-04-20 03:05:44
Jared Cabodol,its so cool and nice game,4,2025-04-20 03:03:29
Ujjwal Singh,best game,5,2025-04-20 02:47:04
Amilil Abdullah,Good,5,2025-04-20 02:42:48
Alisha Lama,i love this game,5,2025-04-20 02:38:53
thamarai ganga,good,1,2025-04-20 02:35:45
Mehboob Ansari,🎮🎮🎮🇮🇳🇮🇳🇮🇳,1,2025-04-20 02:31:37
Hafija Khatun,Best game,5,2025-04-20 02:25:53
sanjita magar,this is best game ever I have played,5,2025-04-20 02:21:32
KALAI SELVAN .M,Nice to play,5,2025-04-20 02:20:35
Suman Kanty Ray,wow it is best playstore game,5,2025-04-20 02:08:28
Kade Riley,good fun 👍,5,2025-04-20 01:55:41
Tiarra Lewis,I like the game 🎮 😏,5,2025-04-20 00:58:27
Namaste Namaste,super game,5,2025-04-20 00:28:52
Anna Sears,"little hard to get keys, otherwise great, just a personal preference.",4,2025-04-20 00:16:10
Blessed Child,"The game is almost perfect, because there some annoying me, is like few days earlier, I bought more key and more coin and well is like i didn't bought anything but I'm sure I bought it. So honestly was up with that 😡 is wasting my time and my money I don't even know if is just a glitch or a bug please fix it or return the money I spent because I have been waiting to see if is not going to appears the next day you know. Like this one part of the game that I'm most likely annoyed dude 😤.",3,2025-04-19 23:51:35
Zehra Khan,its very hard and cool game i guess so bot i liked it a little bit so 3 stars,3,2025-04-19 23:46:18
Alexis Jamee,great aside from the ads,4,2025-04-19 23:23:50
Akosua Aseda,this game is amazing I love it so much 5 stars,5,2025-04-19 22:10:01
Joan Smith,This is a. hard fun game to put your mind to it it took me month's to become a Professional,5,2025-04-19 21:58:15
Bryan D Diosdado,This game is super duper fun!!,5,2025-04-19 21:48:30
Harriet Ohwofasa,nice,5,2025-04-19 21:47:21
Regina Booker,this website is really good. When I am bored I will always go to Subway Surfers It makes me so grateful to have this game ppl should have this.,5,2025-04-19 21:22:14
Petals,this game is fantastic,5,2025-04-19 21:21:12
Reginald Ocariza,it's very fun with a song while playing because it makes me better and watch out for trains and kinda vibinng here playing it.,5,2025-04-19 21:09:27
Dayton Cowdell,its awsome,5,2025-04-19 20:58:42
William Sutton,still the same great game it was 5 years ago which I love because alot of my childhood games have updated and now nolonger are the og versions (the best verisons) but this one has stayed true 🔥💯,5,2025-04-19 20:57:17
Gyasi Osei,great 👍,5,2025-04-19 20:37:22
Zabrina Thom (Wolf),it's a really good game I enjoy playing it!!✋️💓,5,2025-04-19 20:30:57
David Chimommbe,I love ittt,4,2025-04-19 20:28:47
Moiz Kamran,sad story behind it😔 this is fun game for offline,5,2025-04-19 20:26:31
Lesedi Lesedi,raining collecting money box or any thing in game,5,2025-04-19 20:02:45
Hrsh Xngh,very nice game free time khalta hu ma.... very very awesome,5,2025-04-19 19:36:31
Jephther Baidoo,is amazing just that u can't buy the person you want,5,2025-04-19 19:27:17
Dream_Jdh_2009,nostalgic,5,2025-04-19 19:19:41
Raphael Rapho,Moving swiftly and scoring high lets go...,3,2025-04-19 19:18:10
Zohaib Jia Ja Arif Jia Ja,nice game but fazool they just show ads not,3,2025-04-19 19:15:54
Antoni Romero,it a very cool and nice game,5,2025-04-19 19:03:46
Joy Pascoe,"pretty good at the beggining sorta , but then it started lagging randomly for no reason like a bunch of times , and then when i as trying to buy keys with realy money , it took the money but didnt give me the keys , i tried 3 times and the stupid game took 40 bucks of my REAL money but never gave me what i bought , scam of a game never get it",1,2025-04-19 19:01:29
Kheerthimhalini,super,5,2025-04-19 18:57:54
Maxine Cunliffe,it's really fun to play,5,2025-04-19 18:55:28
Xenobia Hathorn,love it and it better offline also.,5,2025-04-19 18:54:13
Steven Samuel,no words to describe the fun i have in it,5,2025-04-19 18:47:41
Funmilayo Adeoye,So sweet racing,1,2025-04-19 18:43:55
Cleto,Keep on releasing new updates,2,2025-04-19 18:39:05
swati dhingra,mast game hai bhai❤️🪄,5,2025-04-19 18:36:59
setshego modise,very good game 🎮💓💯💯💯💯,5,2025-04-19 18:27:08
Arman,i dont want rate this game bad game ever dont play time waste and scam,1,2025-04-19 18:26:14
Shane MacDougall,amazing game,5,2025-04-19 18:15:54
Mohsin Sajjad,best game in the world,5,2025-04-19 18:06:53
aamir ashraf,Best game,5,2025-04-19 18:06:38
Ellen,so fun I can't stop playing it lol.. really is a amazing game,5,2025-04-19 18:02:20
Azra,very success ful game from India 🇮🇳 non networkable game,5,2025-04-19 17:47:53
Shooq Hala,جيد بما فيه الكفاية...,4,2025-04-19 17:32:09
Snoop Gibson,Si so good 5 stars,5,2025-04-19 17:22:51
Rayhona Suyunova,best game,5,2025-04-19 17:04:46
Saoud Khan,I like subway surf my best game,5,2025-04-19 16:59:56
Arsam Amini,good❤️❤️❤️❤️❤️❤️❤️❤️❤️,5,2025-04-19 16:57:15
heart princess 77,it is a great game but some characters are sooo expensive for no reason!,4,2025-04-19 16:45:20
Ali hamza Tatla,a good app,5,2025-04-19 16:44:39
Ramesh Dongala,This game is cool...,5,2025-04-19 16:38:59
Aiden Brown,It's AWESOME The seasons are incredible! I LOVE IT!!!!,5,2025-04-19 16:38:22
M. Mahima Sepai,goob এক্সপিরিয়েন্স,4,2025-04-19 16:36:17
Godsgift Joseph,nice game to keep oneself busy and active,5,2025-04-19 16:35:12
Harisfaisal Harismughal,Good,5,2025-04-19 16:31:27
Kristen Khan,very challenging,5,2025-04-19 16:26:43
Cameron Brewer,it is one of my favorites,5,2025-04-19 16:24:13
Kgomotso Pitso,I love it is offline and also for long trips,5,2025-04-19 16:21:42
Om Bhatt,Nice Game,5,2025-04-19 16:04:54
Fahmida Akter,best,5,2025-04-19 16:03:48
Hassan Tariq,My favorite game 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,5,2025-04-19 15:59:10
modisane kgosane,"𝐢𝐭'𝐬 𝐚 𝐠𝐨𝐨𝐝 𝐠𝐚𝐦𝐞,𝐢 𝐡𝐚𝐯𝐞 𝐩𝐥𝐚𝐲 𝐥𝐨𝐬𝐭 𝐨𝐟 𝐠𝐚𝐦𝐞𝐬 𝐛𝐞𝐟𝐨𝐫𝐞 𝐛𝐮𝐭 𝐭𝐡𝐢𝐬 𝐢𝐬 𝐭𝐡𝐞 𝐨𝐧𝐞 𝐢 𝐚𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫.",5,2025-04-19 15:52:20
Lukiss Ignacio,so good but my fingers are tired but it's ok I love the game,5,2025-04-19 15:43:29
Benjiman Marsteller,love this game,5,2025-04-19 15:38:50
Odd,i just lov eit,5,2025-04-19 15:33:59
Mohammad Saqib Naseem,I like this game because of it 's quality and characters,5,2025-04-19 15:32:07
Charles Turner,it's so good and Nostigla,5,2025-04-19 15:31:31
Tawanda,absolutely 💯,5,2025-04-19 15:23:14
Addy Adkins,its a fun game:D,4,2025-04-19 15:17:15
Sidra Fatima,So nice game I lave this game sooooo much,5,2025-04-19 15:16:37
Johnathan Copeland,its so fun I've been playing for hours,5,2025-04-19 15:14:45
Hafsa,Game nya sihh seruuu cuma yg enggak seru nya adalahh ngelekkkk klo misalnya udh lama gk dimainin dia bakal ngelekkk padahal aku enggak pake sketborttt tpi malàh kepencettt,4,2025-04-19 14:53:32
Mateo Valencia,es cine pero se puede mejorar,4,2025-04-19 14:52:56
HARUNUR RASHID,VERY VERY GOOD GAME,5,2025-04-19 14:51:12
Prajapati Jayantibhai,When this game was end,4,2025-04-19 14:50:27
Almaas Malik,best game ever,5,2025-04-19 14:38:23
Devi Singh,very good game,5,2025-04-19 14:36:10
Arkham Sajjad,this game is very amazing than others game such as free fire,4,2025-04-19 14:33:16
Kartik Meena,bat not sad bat like game 🎮🎮,5,2025-04-19 14:25:18
Shastri Dwivedi,very nice game 🎯,5,2025-04-19 14:13:56
Naga Raju,excellent 👌👍,5,2025-04-19 14:07:27
Praveen Katarpawar,"I just have one request, could u do a Harry Potter themed one [I'm a Potter head] with hedwig's theme as the background music [with the subway surfer beats] I am sure that it will rock",5,2025-04-19 14:01:44
Dannie,good game. thanks.,5,2025-04-19 14:01:20
jeramiah bacon,this is the best game ever because it's one of the offline games,5,2025-04-19 13:58:13
Sureswar Rava,This is nice 👍🙂 game l like this game but You improve your character's then game is so nice,5,2025-04-19 13:52:05
Eli Smith,I loveeee I loveeeeee I loveee I love,5,2025-04-19 13:41:49
Siyamthanda Khumalo,It is a very civilized game and is nice to play,5,2025-04-19 13:41:13
Bhavna Choudhary,this game is so good we can play this game anytime and everywhere,5,2025-04-19 13:39:26
Pabalelo Motlou,I love this game because now I can play long and take 3 boxes,5,2025-04-19 13:34:15
Ireen Emran,the games show amazing when i am play the game i feel so good,5,2025-04-19 13:25:07
Prakash Dwararajan,this is so good game u am playing this game since from my child hood I need the classic subway surfers not this new one with many templates and updates you can release the classic subway surfers again please it is my request,5,2025-04-19 13:24:02
Babita Sharma,it's still good but I like old one old is gold,5,2025-04-19 13:22:54
Somalian shee,totally love it,5,2025-04-19 13:19:52
Azan Kashan,very very nice game time pas karne ke liye nice ha,5,2025-04-19 13:17:56
Umar Rajpoot,that's amazing,5,2025-04-19 13:17:16
Sathwik Mangali,superb 😎,5,2025-04-19 13:09:58
Sybil jacobs,"love playing, however there's too many ads 😕",4,2025-04-19 13:08:28
Abhishek Mishra SS GTNR,this game is insane it giving me nostalgia Bro no ads no anything IT MY CHILDHOOD,5,2025-04-19 13:05:46
Ncumolwam Rooiland,good game good scpres,5,2025-04-19 12:57:24
MOSES HEBREW,awesome 💯👍🆒 app,5,2025-04-19 12:54:04
Sandeep SVS,👍,5,2025-04-19 12:52:17
Boos Maas,best game 🎮 in the running,5,2025-04-19 12:50:20
Andrew Grooms,love it,5,2025-04-19 12:43:28
Jezz Degala,"Game is good, the graphics, mechanics and physics of the game is amazing. I missed playing this game.",5,2025-04-19 12:35:07
Safikul Mallick,Good gams,5,2025-04-19 12:34:19
Lakshya Sharma,still good game,5,2025-04-19 12:31:04
Azka Ch,excellent 👍👍👍👍👍 👍👍👍👍👍👍Best,5,2025-04-19 12:31:02
Sukhbir Singh,its a earning àpp,1,2025-04-19 12:29:49
Yohana Gebremedhin,the best game eveeeeer,5,2025-04-19 12:27:13
Lakshhira Malia,this is my favourite game an update,5,2025-04-19 12:17:59
Joanne Mukiibi,I loved the game but sometimes the obstical corpses can be a bit stupidly tricky but outside of it is a wonderful game,5,2025-04-19 11:56:58
Seema Sikka,"Very nice game with smooth features,changing variety and vibrant animation.",5,2025-04-19 11:56:19
Pcv Vish,"this game is awesome but the old version is my favorite one WHY YOU CHANGE PLEASE RELEASE THE OLD VERSION I ALSO LIKE THIS NEW VERSION BUT THE OLD VERSION IS ,Y HEART ♥",5,2025-04-19 11:54:32
Terry Great,nice game,5,2025-04-19 11:39:47
Ognjen Mikic,great game,5,2025-04-19 11:34:22
Raj diwedi,terimada,1,2025-04-19 11:31:32
Olerato Mohale,greate game,5,2025-04-19 11:23:26
Nizar Faiz,MENTAL!!,5,2025-04-19 11:20:39
Koketso Sizane,great,3,2025-04-19 11:20:06
Richard,love it . it's a great experience,5,2025-04-19 11:17:14
Gagan Chaturvedi,A very nice game,5,2025-04-19 11:13:49
Sosamma George,a super game i ever played,1,2025-04-19 11:04:19
Afzal Ali,lowda 😁,5,2025-04-19 11:00:18
Vaishnavi Chowdary,wonderfull niceeeb,5,2025-04-19 10:59:29
Yea and Amen,this is the best ever running game in the universe,5,2025-04-19 10:50:39
Karl Beckett,way to many adds. just ruins it.,1,2025-04-19 10:37:28
Bibi Maimuna Khatun,nice game I love this game,5,2025-04-19 10:30:56
Rahman Khan,this is very nice game I love it,5,2025-04-19 10:28:20
Aditi Tandon,very nice game I love it,5,2025-04-19 10:21:48
Xander McCall,amazing game honestly,5,2025-04-19 10:10:47
Judith Chinenye,I loved it,5,2025-04-19 10:04:55
Emily Rogers,very fun to play,5,2025-04-19 10:03:38
Macca Subhan,Subway surfers is the best game ever i could relax when playing this game .This game has a lot of events and i have so fun while playing this game,5,2025-04-19 10:02:45
MD SHAMIM HOSSAIN,good 👍👍👍,5,2025-04-19 10:00:33
Indira P k kunju,"I've always remembered this game and will always remember forever. I have already played this game and suddenly, i don't know why but i got nostalgia of this game, now i have played this game but sometimes there are some glitches occuring when I'm playing this. For example if I'm swiping to left it goes to the centre. I hope the developer's will fix this.",4,2025-04-19 09:56:18
Nutan0181,nice,5,2025-04-19 09:54:56
kyaw zin min htet,This game is very interesting because it have a story in real,5,2025-04-19 09:54:48
Jojo Josie,When playing offline and I lose I can't see my keys and there is no option of using my keys,4,2025-04-19 09:53:05
Farida Esmat,hey...... I know your backstory I'm so sorry that happend,5,2025-04-19 09:44:52
Yogirajbarwase Barwase,good,5,2025-04-19 09:38:40
anandan anand,good game as always,5,2025-04-19 09:37:37
SaeIsha,latest very very funny that should be more competition between it and it is very interesting game I just like it,5,2025-04-19 09:30:33
Sawan Bhadula,a very very very nice game,5,2025-04-19 09:26:39
Omo Ola,best game,5,2025-04-19 09:25:43
Khushi Kumari,this game is ok ok,1,2025-04-19 09:13:30
Rajesh Kumar,I love it,5,2025-04-19 09:11:12
Jordan Garcia,it Is so good I like this game 🎮 so much it should be on the top,5,2025-04-19 09:10:22
Sharma Homeo clinic Clinic,good game,5,2025-04-19 09:09:32
Mariam Sidika,dis is so sweet,5,2025-04-19 09:08:00
Ashish Jain,bekar hai,1,2025-04-19 09:01:02
Uttam Sasmal,good game 🥰🥰,5,2025-04-19 08:58:31
Sushma Singh,this one game of amazing and streesless game wow game,4,2025-04-19 08:58:22
MURUGAA KP,nice,5,2025-04-19 08:58:07
Lexa Wabina,"i really love this game but my mom deleted it bc she was mad at me bc i did'nt do the chore anddd shee freaking deleted it😭 and i lost my score it was 900,000 thousand smt ,and i lost 100,000 coins i was saving it for ella , and i lost my characters Tasha,Tagbot,Ninja,George the Eggstravaganza Outfit,Lucy,and fresh,and plus the boards,likee i want IT BACK 😢Then btw i finished the easter edinburgh hunt 😭😭I really want it back i WAS ALWAYS AWAKE SMT TO GET THEM😢",5,2025-04-19 08:57:34
Shama Bano,best game,5,2025-04-19 08:56:08
Sudarshan Parida,best app for masti😃😃😃,5,2025-04-19 08:55:27
shailesh soni,nic,5,2025-04-19 08:53:08
sagdllo m,1 day ago I bought this and I love it🌝💋🎀,4,2025-04-19 08:52:23
Bhawana Phayal,good,5,2025-04-19 08:52:07
Agnisha Naskar,best game I've ever played!,5,2025-04-19 08:48:14
Sapna Vashisth,"it is good, i unlocked many events in this game..😁",5,2025-04-19 08:41:20
Rizwana begum,very nice for playing when your bore,5,2025-04-19 08:39:56
mesu rushda,best game,5,2025-04-19 08:35:48
fareeda shifa,please game is very nice I love it ❤️ the challenging part of this game is very nice I love Subway surfers,5,2025-04-19 08:32:05
fridah Wanene,its good,4,2025-04-19 08:31:46
Alioke Favour,nice I love the new update,5,2025-04-19 08:27:58
Qakathekile Sibanda,I have played this game but I still remember this game so much the thing is I played this game since 2022 but I am downloading it now 🎉🥺🥺🥺😚💋 the ads are boring that it.Thanks for your opinion,5,2025-04-19 08:27:33
Arjun,very nice game,5,2025-04-19 08:19:36
Mithlesh Mishra,यह बहुत ही अच्छा गेम है इसमें हमें बहुत मजा आता है यहगेम बहुत रो,5,2025-04-19 08:03:02
FUTURISTIC HUMANS,Best game and offline game also,5,2025-04-19 08:00:15
lalita construction,"what a game ... love this .. ❤❤❤❤❤❤.., this is one of my favourite game 💫💫💫",5,2025-04-19 07:56:49
Biswajit Maity,best game ever 10 out of 10,5,2025-04-19 07:52:42
Bear channe,bagus,5,2025-04-19 07:35:08
Moe Khaing,fun,5,2025-04-19 07:26:14
Rosalyn R. Nobleza,"I love it! it's my childhood game, so many characters and skateboards! ❤️",5,2025-04-19 07:23:05
Ravi Kanojiya,Best Game,5,2025-04-19 07:09:18
Aurora,"I love the game but when I accidentally uninstalled it when clearing my storage it won't let me log in and it makes me sad cuz I have nothing now all I have is the stuff I bought a while ago but it's still devastating to find out I don't have my keys, skins and I don't have my boards any more when I worked really hard to get them.",5,2025-04-19 06:56:11
Mizanur Sk,"Its such great , I have swished With Jake and earned thousands of coins its the best runner game in I for all. Also I can do Solo tricks ,pop tricks and more .",5,2025-04-19 06:53:54
Daesha Hames,Super great 👍,5,2025-04-19 06:42:44
intan salina,saya kalah banyak kali,3,2025-04-19 06:38:15
Khin Win Naing,i so happy my friend play Subway Surfers game,5,2025-04-19 06:36:42
Luqman Rajpoot,best game,5,2025-04-19 06:28:40
Kristen,it was 5 stars before. I don't know why they removed the Facebook friends feature. I've been running with my friends and competing to get high scores and they are also the same. now it's gone. I can't ask them directly in DM to give me ID. now my friend list is empty and I don't want to add people I don't know from my dashboard. please bring back that Facebook thing. I've been playing that game since I was a kid and now I have friends to compete but it's gone? It feels so empty running alone.,1,2025-04-19 06:05:22
Karunender Tiwari,intresting,5,2025-04-19 05:18:20
Salahuddinkhan Khan,well experience,5,2025-04-19 05:15:54
Athenalumine Buan,childhood,5,2025-04-19 05:06:35
Chiin,it's good that's all,5,2025-04-19 04:59:46
Eric Velazquez Cisneros,"In Memory of the Captain and Crew of the F/V Destination, our brothers At Sea. Rest in Peace.🎗️",5,2025-04-19 04:57:44
Ignas,good game,5,2025-04-19 04:55:37
Kalpana Kalpana,nice,5,2025-04-19 04:38:56
Sudha Chandrashekar,this is q fantastic game which we can play. 🤍,4,2025-04-19 04:33:59
Arnav Choudhary,nice game,5,2025-04-19 04:33:17
Dev Gora,super game,5,2025-04-19 04:24:15
Harshu Majumdar,feels goood,5,2025-04-19 04:19:12
Piyali Maity,Subway surfers phone mein mera data nahi chalta hai please kuchh karo,5,2025-04-19 04:16:40
Nitya Dubey,good game i think super fun 🙃🙃🙃,4,2025-04-19 04:10:52
Shruthi Sridhar,I like this app but it is less coins their to collect so increase the coins,3,2025-04-19 04:10:23
Abigail Gonzalez,good,5,2025-04-19 04:07:04
Vamsi Vangapati,very intresting game i love it,5,2025-04-19 03:54:16
Heena Heeena,good hqme,5,2025-04-19 03:50:37
pauloiajlisle,very awesome!,5,2025-04-19 03:47:01
Rimal Rimal,I ♡ this game,5,2025-04-19 03:41:18
Aniruddha Deshmukh,only actoin games,1,2025-04-19 03:40:15
Lajule Harris,I like this game because you can play anywhere you want in the world and it would prevent your language how to write the stuff I write this at 5,5,2025-04-19 03:21:41
tessy antony,Nostalgic af,5,2025-04-19 03:11:33
BOSS LADY,major malfunction with the sound after watching every ad! it is the game bc i turn my sound all the way down& it stops please fix asap! very annoying! ty subway surfers fan!♡ glad it waa fixed thank you 💜,5,2025-04-19 02:51:13
Sadie Lindahl,very fun to play,4,2025-04-19 02:45:52
Ruther Poul,wow,5,2025-04-19 02:14:40
Arinana Bonhomme,when I'm out and I don't have internet it works when is my favorite game to play and it's very addicting,5,2025-04-19 01:57:29
Kaleb Rodriguez,love it,4,2025-04-19 01:51:05
Matteo Saucedo,love it since childhood,5,2025-04-19 01:49:33
Shanti Khnal,wow this game is so crazy😍,1,2025-04-19 01:43:23
M K Kevin Ranji,super game 😀,5,2025-04-19 01:40:55
Nithish,it is very best in run,5,2025-04-19 01:09:42
Emily Thomas,it was great,5,2025-04-19 01:07:35
Roman Adams,fun game the only downside is that some characters need wifi,5,2025-04-19 01:07:23
Madan Kumar,nice game,5,2025-04-19 00:57:29
kajeebass,it's a good game bro I been playing this since it came out,5,2025-04-19 00:36:28
Bella Koivu,so fun and can be fun for hours but can get a little bit boring,4,2025-04-19 00:03:32
Anna,Surfers is a 100%star rated game,5,2025-04-18 23:58:45
Kolawole Araoluwa,this game encourage you to run fast,3,2025-04-18 23:50:32
Bentley Fannon,it# very calming and satisfaction 😊😊,5,2025-04-18 23:43:04
Hunter Trimble,good game to play when board and cool features they put in game 100 percent you should play.,5,2025-04-18 23:32:32
Amelia McCloskey,I only get 500 words to write a review and that is not enough to describe how much I love this game other than the adds. OMG I wish I could just sit here and play this for hours and not do anything else. I love this game more than my own brother. download it now or else.... you will miss out on the best thing that could ever happen to you. 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁🤩😁🤩😁🤩😁🤩😺😃😄😹☺️😊😸😂🌞😺😃😄😹☺️😊😸😂🙃🌞,5,2025-04-18 23:11:05
Erin Eaglefeather,"Love this game. You can choose the characters you want by doing things such as getting a high score and coins to redeem them. I have played this game for so many years, and it never gets bored.",5,2025-04-18 23:07:53
Caden Quartuccio,"good app, fun to play",5,2025-04-18 22:59:56
Fauziyyah Yushau Muhammad,This is easy than I thought and it better than Roblox in Roblox there is so many games for people to play .I use to play lots of games.subway is easy and the police didn't catch me.geuse what is a prank Roblox is better than subway 🚇.😂😂😂😂😂😂😂😂,5,2025-04-18 22:19:53
Million Timing,I like how they did a collab with crossy road,5,2025-04-18 22:14:29
Maupin Cruz,so amazing 🤩,5,2025-04-18 22:11:54
Spit Rat,"still a hit! nostalgia isn't what makes the game good, it's still a wonderful time killer. and I've seen that they respond to some of the reviews so, hello! love your game!",5,2025-04-18 22:09:01
Skyla,I love this game so much it makes me concentrate a whole lot more please do install it it's the best game ever.,5,2025-04-18 21:54:40
Ella,"why do such inappropriate ads keep showing up! there are little kids playing this game, let alone adults who just don't want to see these ads. Please stop showing these ads!",3,2025-04-18 21:27:22
Albert Jera,great distraction,5,2025-04-18 21:27:15
hope Nyokabi,it keeps on deleting my achievements I had unlocked many people and earned a lot in this game only to come back and find it all gone am starting again from square one 😡,1,2025-04-18 21:15:41
Mrs Akinlade,when I was small I usually play this game so now I am good at it I like 👍 this game with 5 star 🌟 🤩 👌 😎,5,2025-04-18 20:42:52
Changu Mwansakilwa,this is game is to fast for me just because am a loser doesn't mean you have to make so fast,1,2025-04-18 20:33:01
eze prince jnr,"the best, I can't do without",5,2025-04-18 20:26:44
Ror To5,so fun,5,2025-04-18 19:51:21
